epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,315.013,1.02066,0.98768,1.28074,1.21517,0.4951,0.58824,0.52181,0.31055,0.54073,0.64706,0.54576,0.21521,1.37607,1.20213,1.73205,1.44683,0.00173416,0.00173416,0.00173416
126,318.337,0.97447,0.95849,1.22679,1.2288,0.38496,0.70588,0.47449,0.30313,0.4492,0.64706,0.48367,0.19202,1.37732,1.21855,1.68096,1.49073,0.0016675,0.0016675,0.0016675
127,320.969,0.92396,1.06254,1.23476,1.13125,0.446,0.64706,0.47268,0.28637,0.43052,0.64706,0.48877,0.17932,1.38023,1.20295,1.77763,1.46672,0.00160084,0.00160084,0.00160084
128,323.371,0.91091,0.96725,1.1435,1.14645,0.71724,0.35294,0.47764,0.27342,0.71724,0.35294,0.48511,0.16974,1.37502,1.18698,1.83448,1.43557,0.00153418,0.00153418,0.00153418
129,325.562,0.8554,0.86847,1.1497,1.1277,0.83711,0.35294,0.50655,0.30235,0.83711,0.35294,0.50655,0.1793,1.43295,1.20396,1.77826,1.47695,0.00146752,0.00146752,0.00146752
130,327.98,0.86686,0.94261,1.13277,1.1099,0.70866,0.35294,0.53746,0.3439,0.38597,0.77678,0.56802,0.1996,1.36923,1.19154,1.74965,1.50575,0.00140086,0.00140086,0.00140086
131,330.708,0.95697,1.0135,1.13124,1.12614,0.6052,0.41176,0.53957,0.34307,0.6052,0.41176,0.53639,0.20253,1.4007,1.19871,1.76917,1.53054,0.0013342,0.0013342,0.0013342
132,333.045,0.85068,0.95558,1.05231,1.08309,0.66784,0.41176,0.512,0.29844,0.66784,0.41176,0.51344,0.17398,1.44587,1.19491,1.79083,1.57882,0.00126754,0.00126754,0.00126754
133,335.231,0.98088,0.93803,1.31292,1.24644,0.52136,0.47059,0.48992,0.27294,0.52136,0.47059,0.51144,0.17872,1.46194,1.19337,1.80292,1.577,0.00120088,0.00120088,0.00120088
134,337.986,0.87911,0.96765,1.13404,1.1389,0.6025,0.47059,0.50428,0.26881,0.44455,0.76471,0.53187,0.17765,1.45558,1.19167,1.87306,1.57241,0.00113422,0.00113422,0.00113422
135,341.094,0.95254,0.9061,1.21825,1.14456,0.75568,0.41176,0.52543,0.27883,0.75568,0.41176,0.53984,0.19834,1.40388,1.1763,1.8153,1.57573,0.00106756,0.00106756,0.00106756
136,344.418,0.87462,0.97143,1.17528,1.08624,0.7709,0.39719,0.53448,0.28921,0.7709,0.39719,0.5487,0.20279,1.38791,1.18418,1.79186,1.55961,0.0010009,0.0010009,0.0010009
137,347.78,0.90865,0.94715,1.12872,1.14163,0.47123,0.47059,0.55887,0.31445,0.47123,0.47059,0.55885,0.21596,1.40469,1.19399,1.73217,1.54255,0.00093424,0.00093424,0.00093424
138,349.929,0.87278,0.90905,1.07135,1.14076,0.85399,0.34516,0.5587,0.2958,0.85399,0.34516,0.54956,0.21426,1.41656,1.18157,1.86015,1.57465,0.00086758,0.00086758,0.00086758
139,352.04,0.93175,0.98553,1.19442,1.19263,0.76101,0.37626,0.57291,0.29365,0.76101,0.37626,0.57363,0.21052,1.46724,1.18085,1.90959,1.63705,0.00080092,0.00080092,0.00080092
140,354.162,0.90408,0.97366,1.10045,1.15363,0.37293,0.64706,0.56856,0.30007,0.37293,0.64706,0.55008,0.20146,1.44335,1.18342,1.89328,1.61925,0.00073426,0.00073426,0.00073426
141,357.49,0.84023,0.89348,1.09999,1.13873,0.37313,0.64706,0.5615,0.31537,0.37313,0.64706,0.56785,0.21621,1.40662,1.17788,1.75698,1.59197,0.0006676,0.0006676,0.0006676
142,359.647,0.84765,0.89098,1.10501,1.10258,0.44547,0.66199,0.56232,0.31638,0.67604,0.41176,0.53171,0.20241,1.40305,1.20205,1.69703,1.57806,0.00060094,0.00060094,0.00060094
143,361.723,0.80239,0.89037,1.02308,1.07975,0.46026,0.64706,0.57559,0.32432,0.68508,0.41176,0.53791,0.21616,1.37845,1.20713,1.65534,1.56902,0.00053428,0.00053428,0.00053428
144,363.784,0.77488,0.8635,1.02447,1.0693,0.51076,0.67617,0.57706,0.32941,0.49749,0.58263,0.54337,0.22301,1.38205,1.19971,1.63615,1.56041,0.00046762,0.00046762,0.00046762
145,365.866,0.78761,0.89329,1.04112,1.11873,0.47259,0.52941,0.54523,0.32379,0.4749,0.53214,0.5309,0.21894,1.39194,1.19279,1.61628,1.5666,0.00040096,0.00040096,0.00040096
146,367.973,0.77153,0.8372,1.04194,1.07047,0.49549,0.63592,0.56908,0.31469,0.57944,0.47059,0.53829,0.22323,1.39415,1.19581,1.64269,1.54608,0.0003343,0.0003343,0.0003343
147,370.054,0.8372,0.93139,1.03278,1.11939,0.49611,0.63745,0.57035,0.32241,0.58588,0.47059,0.53745,0.22209,1.39946,1.19633,1.67148,1.54422,0.00026764,0.00026764,0.00026764
148,372.115,0.80053,0.91818,0.99682,1.07888,0.45528,0.58824,0.56512,0.32688,0.57066,0.47059,0.53662,0.22067,1.40287,1.19557,1.68327,1.55213,0.00020098,0.00020098,0.00020098
149,374.174,0.82486,0.82135,1.06193,1.10479,0.45579,0.58824,0.56926,0.32476,0.47681,0.70588,0.57643,0.22664,1.39687,1.19339,1.67078,1.55181,0.00013432,0.00013432,0.00013432
150,376.273,0.82335,0.86538,1.02817,1.15767,0.45814,0.64657,0.56926,0.33834,0.47873,0.70244,0.57899,0.22728,1.39204,1.19191,1.67255,1.54819,6.766e-05,6.766e-05,6.766e-05
