epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,90.1759,1.36936,1.28847,2.50582,1.49414,0.40515,0.35294,0.20566,0.1224,0.29558,0.23529,0.12481,0.05604,1.78594,2.47949,2.80517,1.88169,0.00806686,0.00806686,0.00806686
31,92.519,1.44472,1.44926,2.4567,1.57678,0.654,0.35294,0.34808,0.23825,0.654,0.35294,0.3442,0.16857,1.50446,1.47533,2.72619,1.85675,0.0080002,0.0080002,0.0080002
32,95.0095,1.38421,1.30965,2.356,1.48476,0.90633,0.35294,0.42341,0.24876,0.75528,0.29412,0.32197,0.1409,1.79895,1.62051,2.23628,2.17881,0.00793354,0.00793354,0.00793354
33,97.5313,1.3681,1.38436,2.3208,1.47088,0.93025,0.23529,0.33933,0.21489,0.93025,0.23529,0.33821,0.11543,1.6344,1.61078,2.66534,2.0234,0.00786688,0.00786688,0.00786688
34,100.039,1.39046,1.23351,2.31347,1.52179,0.59739,0.17647,0.21978,0.14404,0.90862,0.11765,0.13979,0.08747,2.22824,2.40634,2.7837,2.19823,0.00780022,0.00780022,0.00780022
35,102.865,1.39872,1.41338,2.32926,1.54646,0.55192,0.29412,0.32001,0.18012,0.74499,0.17293,0.20794,0.11696,1.85855,1.7424,2.37573,2.05312,0.00773356,0.00773356,0.00773356
36,105.275,1.4966,1.28843,2.35389,1.55596,0.44656,0.23529,0.23592,0.12542,0.28417,0.17647,0.15481,0.09032,2.11951,1.78841,2.6158,1.99486,0.0076669,0.0076669,0.0076669
37,108.139,1.35445,1.31859,2.20229,1.48981,0.29209,0.3645,0.23984,0.11841,0.24877,0.31224,0.17266,0.07459,1.96608,2.00074,2.44881,1.94826,0.00760024,0.00760024,0.00760024
38,111.857,1.40465,1.2582,2.29589,1.4922,0.57137,0.29412,0.28636,0.14764,0.45617,0.23529,0.18913,0.07376,1.90597,1.89052,2.99764,2.27395,0.00753358,0.00753358,0.00753358
39,115.163,1.30766,1.25924,2.06637,1.42235,0.30417,0.47059,0.2473,0.09292,0.20394,0.29412,0.13999,0.04224,2.12376,1.86662,2.97674,2.65632,0.00746692,0.00746692,0.00746692
40,117.933,1.40606,1.34863,2.24604,1.56831,0.47769,0.41176,0.28306,0.13251,0.4533,0.41176,0.26577,0.07678,1.98703,1.80313,2.50283,2.32635,0.00740026,0.00740026,0.00740026
41,120.863,1.40499,1.28843,2.24809,1.54308,0.44297,0.35294,0.26712,0.12525,0.20706,0.23529,0.13537,0.05771,2.12054,1.81395,2.58358,2.35552,0.0073336,0.0073336,0.0073336
42,124.103,1.39757,1.36712,2.16682,1.43837,0.55402,0.23529,0.23168,0.13391,0.55402,0.23529,0.19584,0.0855,1.99589,1.87642,2.81464,2.18339,0.00726694,0.00726694,0.00726694
43,126.912,1.34491,1.26266,2.03619,1.44404,0.39839,0.29412,0.19227,0.10119,0.49229,0.35294,0.24709,0.08482,1.81654,1.53458,3.32809,2.02831,0.00720028,0.00720028,0.00720028
44,130.868,1.35171,1.19657,2.02428,1.48037,0.312,0.35294,0.28889,0.14657,0.55109,0.29412,0.26788,0.10006,1.77731,1.54321,2.7196,1.97936,0.00713362,0.00713362,0.00713362
45,134.029,1.41434,1.29148,1.96795,1.5084,0.34068,0.47059,0.31867,0.14405,0.35198,0.47059,0.28949,0.13209,1.95771,1.49289,3.09692,2.17522,0.00706696,0.00706696,0.00706696
46,137.295,1.39753,1.30793,2.03632,1.48942,0.39913,0.23529,0.26214,0.15025,0.39913,0.23529,0.2494,0.10261,1.77684,1.35951,2.46654,1.97357,0.0070003,0.0070003,0.0070003
47,140.221,1.33147,1.35229,2.00929,1.39884,0.40199,0.35294,0.3314,0.16112,0.40199,0.35294,0.29199,0.13414,1.68247,1.41357,2.41034,1.91793,0.00693364,0.00693364,0.00693364
48,142.442,1.32619,1.08023,1.90577,1.48705,0.55481,0.29333,0.23672,0.12125,0.55481,0.29333,0.23994,0.09467,1.8566,1.30995,2.7203,2.00965,0.00686698,0.00686698,0.00686698
49,144.747,1.36702,1.30751,2.11796,1.52647,0.53883,0.34437,0.33119,0.14388,0.53883,0.34437,0.29002,0.10683,1.73745,1.38119,2.45325,1.89996,0.00680032,0.00680032,0.00680032
50,146.924,1.43961,1.24775,2.27391,1.55924,0.35968,0.47059,0.32522,0.16963,0.39566,0.46251,0.35132,0.11165,1.67804,1.57621,2.29658,1.95957,0.00673366,0.00673366,0.00673366
51,149.043,1.34483,1.25607,1.88008,1.42261,0.73187,0.29412,0.39367,0.19265,0.73187,0.29412,0.38559,0.14466,1.58034,1.38852,2.52539,1.83704,0.006667,0.006667,0.006667
52,151.17,1.2966,1.24947,1.97496,1.42276,0.34939,0.41176,0.34635,0.16763,0.34939,0.41176,0.34077,0.12348,1.79665,1.41784,2.98007,2.04548,0.00660034,0.00660034,0.00660034
53,153.314,1.28441,1.30774,1.84167,1.37678,0.43622,0.35294,0.29628,0.16665,0.43622,0.35294,0.28617,0.0961,1.58763,1.31096,3.45051,1.81626,0.00653368,0.00653368,0.00653368
54,155.53,1.30105,1.21741,1.89678,1.43549,0.45263,0.23529,0.24451,0.12398,0.56233,0.11765,0.10388,0.04072,2.22225,1.91635,2.78812,2.66432,0.00646702,0.00646702,0.00646702
55,157.658,1.22969,1.23454,1.84229,1.39508,0.56246,0.22791,0.18836,0.09171,0.38974,0.11765,0.06099,0.0255,2.21873,2.28849,3.08569,2.36792,0.00640036,0.00640036,0.00640036
56,159.781,1.36319,1.14603,1.91589,1.5036,0.50171,0.35294,0.25764,0.13648,0.46988,0.29412,0.20313,0.07237,1.75293,1.77631,2.68376,1.95574,0.0063337,0.0063337,0.0063337
57,161.912,1.21962,1.10603,1.72526,1.29976,0.78391,0.35294,0.38234,0.17454,0.66519,0.29412,0.29719,0.0852,1.63134,1.59097,2.60171,1.92061,0.00626704,0.00626704,0.00626704
58,164.043,1.27267,1.17797,1.81734,1.42317,0.60232,0.29412,0.29364,0.15693,0.57775,0.29412,0.29977,0.09239,1.94318,1.84851,2.6668,2.09609,0.00620038,0.00620038,0.00620038
59,166.179,1.40582,1.21086,1.86377,1.35844,0.44685,0.35294,0.26934,0.13175,0.44685,0.35294,0.2575,0.06855,1.77983,1.49988,2.46605,2.03157,0.00613372,0.00613372,0.00613372
60,168.295,1.23531,1.18161,1.73568,1.40842,0.66655,0.29412,0.39192,0.23248,0.66655,0.29412,0.39276,0.15583,1.66282,1.26918,2.27651,1.88715,0.00606706,0.00606706,0.00606706
61,170.424,1.30049,1.19992,1.98201,1.37366,0.56019,0.41176,0.35396,0.17969,0.56019,0.41176,0.32915,0.12327,1.69011,1.44284,2.29387,1.97135,0.0060004,0.0060004,0.0060004
62,172.593,1.30295,1.05326,1.75623,1.41255,0.65876,0.29412,0.4012,0.21324,0.65876,0.29412,0.41228,0.15465,1.73607,1.21707,2.38881,1.87506,0.00593374,0.00593374,0.00593374
63,174.728,1.21455,1.12582,1.69039,1.37497,0.85684,0.23529,0.37945,0.21551,0.2913,0.48393,0.36832,0.13463,1.58701,1.2428,2.30986,1.77329,0.00586708,0.00586708,0.00586708
64,177.024,1.2881,1.22614,1.85868,1.49328,0.49247,0.29412,0.38388,0.21613,0.37949,0.35294,0.35572,0.14347,1.52566,1.39072,2.22346,1.76103,0.00580042,0.00580042,0.00580042
